1912:Cell_i_j;1912:Cell_i_j_1;1912:Cell_i_j_2;1912:i;1912:j;1960:Cell_i_j;1960:Cell_i_j_1;1960:Cell_i_j_2;1960:i;1960:j
3538:2024-12-19 12:52:47;3210:2024-12-19 12:52:47;3728:2024-12-19 12:52:47;0:2024-12-19 12:52:47;3:2024-12-19 12:52:47;417:2024-12-19 12:52:47;322:2024-12-19 12:52:47;429:2024-12-19 12:52:47;0:2024-12-19 12:52:47;0:2024-12-19 12:52:47
4143:2024-12-19 12:52:47;3764:2024-12-19 12:52:47;3179:2024-12-19 12:52:47;0:2024-12-19 12:52:47;6:2024-12-19 12:52:47;390:2024-12-19 12:52:47;420:2024-12-19 12:52:47;418:2024-12-19 12:52:47;0:2024-12-19 12:52:47;3:2024-12-19 12:52:47
3626:2024-12-19 12:52:47;3723:2024-12-19 12:52:47;3271:2024-12-19 12:52:47;4:2024-12-19 12:52:47;9:2024-12-19 12:52:47;202:2024-12-19 12:52:47;320:2024-12-19 12:52:47;307:2024-12-19 12:52:47;0:2024-12-19 12:52:47;6:2024-12-19 12:52:47
3918:2024-12-19 12:52:47;3628:2024-12-19 12:52:47;3273:2024-12-19 12:52:47;4:2024-12-19 12:52:47;12:2024-12-19 12:52:47;413:2024-12-19 12:52:47;418:2024-12-19 12:52:47;278:2024-12-19 12:52:47;0:2024-12-19 12:52:47;9:2024-12-19 12:52:47
3127:2024-12-19 12:52:47;4088:2024-12-19 12:52:47;3021:2024-12-19 12:52:47;4:2024-12-19 12:52:47;15:2024-12-19 12:52:47;254:2024-12-19 12:52:47;294:2024-12-19 12:52:47;321:2024-12-19 12:52:47;0:2024-12-19 12:52:47;12:2024-12-19 12:52:47
4011:2024-12-19 12:52:47;3063:2024-12-19 12:52:47;4040:2024-12-19 12:52:47;5:2024-12-19 12:52:47;0:2024-12-19 12:52:47;310:2024-12-19 12:52:47;363:2024-12-19 12:52:47;441:2024-12-19 12:52:47;0:2024-12-19 12:52:47;15:2024-12-19 12:52:47
3161:2024-12-19 12:52:47;4079:2024-12-19 12:52:47;3446:2024-12-19 12:52:47;5:2024-12-19 12:52:47;3:2024-12-19 12:52:47;418:2024-12-19 12:52:47;321:2024-12-19 12:52:47;426:2024-12-19 12:52:47;1:2024-12-19 12:52:47;0:2024-12-19 12:52:47
3766:2024-12-19 12:52:47;3620:2024-12-19 12:52:47;4074:2024-12-19 12:52:47;5:2024-12-19 12:52:47;6:2024-12-19 12:52:47;378:2024-12-19 12:52:47;228:2024-12-19 12:52:47;356:2024-12-19 12:52:47;1:2024-12-19 12:52:47;3:2024-12-19 12:52:47
3076:2024-12-19 12:52:47;3791:2024-12-19 12:52:47;4113:2024-12-19 12:52:47;5:2024-12-19 12:52:47;9:2024-12-19 12:52:47;407:2024-12-19 12:52:47;235:2024-12-19 12:52:47;299:2024-12-19 12:52:47;1:2024-12-19 12:52:47;6:2024-12-19 12:52:47
3922:2024-12-19 12:52:47;3014:2024-12-19 12:52:47;3127:2024-12-19 12:52:47;5:2024-12-19 12:52:47;12:2024-12-19 12:52:47;438:2024-12-19 12:52:47;235:2024-12-19 12:52:47;420:2024-12-19 12:52:47;1:2024-12-19 12:52:47;9:2024-12-19 12:52:47
3223:2024-12-19 12:52:47;3831:2024-12-19 12:52:47;3907:2024-12-19 12:52:47;5:2024-12-19 12:52:47;15:2024-12-19 12:52:47;353:2024-12-19 12:52:47;279:2024-12-19 12:52:47;367:2024-12-19 12:52:47;1:2024-12-19 12:52:47;12:2024-12-19 12:52:47
4088:2024-12-19 12:52:47;3335:2024-12-19 12:52:47;3890:2024-12-19 12:52:47;6:2024-12-19 12:52:47;0:2024-12-19 12:52:47;217:2024-12-19 12:52:47;348:2024-12-19 12:52:47;217:2024-12-19 12:52:47;1:2024-12-19 12:52:47;15:2024-12-19 12:52:47
3268:2024-12-19 12:52:47;3810:2024-12-19 12:52:47;3641:2024-12-19 12:52:47;6:2024-12-19 12:52:47;3:2024-12-19 12:52:47;343:2024-12-19 12:52:47;287:2024-12-19 12:52:47;287:2024-12-19 12:52:47;2:2024-12-19 12:52:47;0:2024-12-19 12:52:47
